START 20        {}
QUERY 0 0       empty string
QUERY 0 1       empty string
QUERY 0 19      empty string
ADD
MOVE 0 1 0 9    {}, {1...1}
QUERY 0 0       empty string
QUERY 0 1       empty string
QUERY 0 2       empty string
QUERY 0 3       empty string
QUERY 0 4       empty string
QUERY 0 5       empty string
QUERY 0 6       empty string
QUERY 0 7       empty string
QUERY 0 8       empty string
QUERY 0 9       empty string
QUERY 1 0       1
QUERY 1 1       1
QUERY 1 2       1
QUERY 1 3       1
QUERY 1 4       1
QUERY 1 5       1
QUERY 1 6       1
QUERY 1 7       1
QUERY 1 8       1
QUERY 1 9       1
